Altium Designer Pick and Place Locations
C:\Users\jiang\Desktop\Pomo\Pomo_DriverBoard\Hardware\V2\Pick Place for Panelization.csv

========================================================================================================================
File Design Information:

Date:       15/08/26
Time:       17:53
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"C28","10uF","TopLayer","Capacitor-0402","1.4604","42.7118","360","HGC0402R5106M100NTEJ","1.4604","42.7118","0.9524","42.7118"
"C27","10uF","TopLayer","Capacitor-0402","7.5564","36.8548","180","HGC0402R5106M100NTEJ","7.5564","36.8548","8.0644","36.8548"
"C26","10uF","TopLayer","Capacitor-0402","7.5564","38.3791","180","HGC0402R5106M100NTEJ","7.5564","38.3791","8.0644","38.3791"
"C25","10uF","TopLayer","Capacitor-0402","1.3334","36.4738","360","HGC0402R5106M100NTEJ","1.3334","36.4738","0.8254","36.4738"
"C24","1uF","TopLayer","Capacitor-0402","1.3334","38.7603","360","HGC0402R5105K500NTEJ","1.3334","38.7603","0.8254","38.7603"
"C23","220pF","TopLayer","Capacitor-0402","4.8899","34.6958","270","CL05C221JB5NNNC","4.8899","34.6958","4.8899","35.2038"
"C22","10uF","TopLayer","Capacitor-0402","5.6522","34.6958","270","HGC0402R5106M100NTEJ","5.6522","34.6958","5.6522","35.2038"
"C21","10uF","TopLayer","Capacitor-0402","6.3754","44.1198","180","HGC0402R5106M100NTEJ","6.3754","44.1198","6.8834","44.1198"
"C20","10uF","TopLayer","Capacitor-0402","6.3754","44.8818","360","HGC0402R5106M100NTEJ","6.3754","44.8818","5.8674","44.8818"
"C19","4.7uF","TopLayer","Capacitor-0805","13.4033","34.4678","360","CL21A475KBQNNNE","13.4033","34.4678","12.4033","34.4678"
"C18","4.7uF","TopLayer","Capacitor-0805","13.4033","36.0217","360","CL21A475KBQNNNE","13.4033","36.0217","12.4033","36.0217"
"C17","10uF","TopLayer","Capacitor-0603","10.8204","37.8529","360","CL10A106KP8NNNC","10.8204","37.8529","10.0204","37.8529"
"C16","10nF/47nF","TopLayer","Capacitor-0402","15.3613","36.0071","270","CL05B103KB5NNNC/CC0402KRX7R9BB473","15.3613","36.0071","15.3613","36.5151"
"C15","100nF/1uF","TopLayer","Capacitor-0402","17.2972","35.9918","270","0402B104K500NT/HGC0402R5105K500NTEJ","17.2972","35.9918","17.2972","36.4998"
"C14","4.7uF","TopLayer","Capacitor-0805","11.2049","42.2435","270","CL21A475KBQNNNE","11.2049","42.2435","11.2049","43.2435"
"C13","100nF/1uF","TopLayer","Capacitor-0402","18.0594","35.9918","270","0402B104K500NT/HGC0402R5105K500NTEJ","18.0594","35.9918","18.0594","36.4998"
"C12","4.7uF","TopLayer","Capacitor-0402","11.2049","44.2016","360","CL05A475MO5NUNC","11.2049","44.2016","10.6969","44.2016"
"C11","10nF/47nF","TopLayer","Capacitor-0402","19.9644","35.9918","270","CL05B103KB5NNNC/CC0402KRX7R9BB473","19.9644","35.9918","19.9644","36.4998"
"C10","4.7uF","TopLayer","Capacitor-0805","22.0877","34.4380","360","CL21A475KBQNNNE","22.0877","34.4380","21.0877","34.4380"
"C9","4.7uF","TopLayer","Capacitor-0805","22.0877","35.9918","360","CL21A475KBQNNNE","22.0877","35.9918","21.0877","35.9918"
"C8","10uF","TopLayer","Capacitor-0603","12.9033","45.1485","360","CL10A106KP8NNNC","12.9033","45.1485","12.1033","45.1485"
"C7","4.7uF","TopLayer","Capacitor-0805","21.6189","39.9538","360","CL21A475KBQNNNE","21.6189","39.9538","20.6189","39.9538"
"C6","4.7uF","TopLayer","Capacitor-0402","14.5034","45.5168","270","CL05A475MO5NUNC","14.5034","45.5168","14.5034","46.0248"
"C5","10uF","TopLayer","Capacitor-0603","22.6349","43.4865","90","CL10A106KP8NNNC","22.6349","43.4865","22.6349","42.6865"
"C4","4.7uF","TopLayer","Capacitor-0805","21.6189","41.5076","360","CL21A475KBQNNNE","21.6189","41.5076","20.6189","41.5076"
"C3","4.7uF","TopLayer","Capacitor-0805","17.2237","45.5168","360","CL21A475KBQNNNE","17.2237","45.5168","16.2237","45.5168"
"C2","4.7uF","TopLayer","Capacitor-0805","20.3776","45.5168","180","CL21A475KBQNNNE","20.3776","45.5168","21.3776","45.5168"
"C1","4.7uF/NC","TopLayer","Capacitor-0402","20.9839","43.5001","180","CL05A475MO5NUNC","20.9839","43.5001","21.4919","43.5001"
"R39","NC/0R","TopLayer","Resistor-0402","10.5580","78.6892","270","Resistor-0402","10.5580","78.6892","10.5580","79.1972"
"R38","NC/7.5K","TopLayer","Resistor-0402","11.3203","78.6892","270","Resistor-0402","11.3203","78.6892","11.3203","79.1972"
"C45","0R/100nF","TopLayer","Capacitor-0402","9.7958","78.6892","270","CL05B104KB5NNNC","9.7958","78.6892","9.7958","79.1972"
"U6","TXS0104ERGYR","TopLayer","TXS0104E-VQFN-14-3.5x3.5mm","21.2478","82.2696","0","TXS0104ERGYR","21.2478","82.2696","20.4978","83.9196"
"R37","10K","TopLayer","Resistor-0402","22.6314","78.8162","270","Resistor-0402","22.6314","78.8162","22.6314","79.3242"
"R33","10K","TopLayer","Resistor-0402","24.2824","75.7682","90","Resistor-0402","24.2824","75.7682","24.2824","75.2602"
"R32","10K","TopLayer","Resistor-0402","21.1074","92.7862","90","Resistor-0402","21.1074","92.7862","21.1074","92.2782"
"R31","0R/NC","TopLayer","Resistor-0402","24.2824","73.6092","270","Resistor-0402","24.2824","73.6092","24.2824","74.1172"
"J2","E0470A01-AF-S","TopLayer","E0470A01-AF-S","27.0219","82.8437","90","AFC01-S40FCA-00","28.3719","82.8437","25.6719","92.5937"
"C44","100nF","TopLayer","Capacitor-0402","21.6154","84.8517","180","100nF/X5R/25V","21.6154","84.8517","22.1234","84.8517"
"C43","100nF","TopLayer","Capacitor-0402","19.8374","84.8517","180","100nF/X5R/25V","19.8374","84.8517","20.3454","84.8517"
"J3","CONN_HDR_3X4_2.54mm","TopLayer","CONN_HDR_3X4_2.54mm","4.0894","94.1832","270","","4.0894","94.1832","1.5494","97.9932"
"X1","27MHz","TopLayer","Oscillator-2016","19.4564","90.9487","270","OC7EL89CJO-113YLC-27M","19.4564","90.9487","18.9064","91.6487"
"USB1","TYPE-C","TopLayer","TYPE-C-16P","5.3554","83.8652","270","GT-USB-7010ASV","7.8754","83.8652","2.8354","79.5402"
"U5","TXS0108ERGYR","TopLayer","TXS0108E-VQFN-20-3.5x4.5mm","13.9994","82.2712","270","TXS0108ERGYR","13.9994","82.2712","16.1494","83.0212"
"U4","GW1NSR-LV4CQN48PC7/I6","TopLayer","GW1NSR-LV4CQN48P-QFN-48_6X6","14.7224","88.2702","0","GW1NSR-LV4CQN48PC7/I6","14.7224","88.2702","11.8724","90.4702"
"U3","EA3036CQBR","TopLayer","EA3036-QFN-20","4.4704","70.9422","270","EA3036CQBR","4.4704","70.9422","5.2704","72.4922"
"U2","SY6283ADRC","TopLayer","SY6283ADRC-dfn-4_1.2x1.6mm","4.3434","77.6732","0","SY6283ADRC","4.3434","77.6732","3.7434","77.9232"
"U1","TPS65185/SY7636A","TopLayer","TPS65185-VQFN-48_6x6mm","16.0769","73.9552","270","","16.0769","73.9552","18.2769","76.8302"
"R36","4.7K/NC","TopLayer","Resistor-0402","17.8054","82.6265","360","Resistor-0402","17.8054","82.6265","17.2974","82.6265"
"R35","4.7K/NC","TopLayer","Resistor-0402","17.8054","81.8645","360","Resistor-0402","17.8054","81.8645","17.2974","81.8645"
"R34","10K","TopLayer","Resistor-0402","10.5664","82.2450","90","Resistor-0402","10.5664","82.2450","10.5664","81.7369"
"R30","49.9R","TopLayer","Resistor-0402","19.4564","89.3654","360","Resistor-0402","19.4564","89.3654","18.9484","89.3654"
"R29","4.7K","TopLayer","Resistor-0402","10.5664","87.5792","270","Resistor-0402","10.5664","87.5792","10.5664","88.0872"
"R28","100R","TopLayer","Resistor-0402","18.4404","94.6912","360","Resistor-0402","18.4404","94.6912","17.9324","94.6912"
"R27","100R","TopLayer","Resistor-0402","16.6624","94.6912","360","Resistor-0402","16.6624","94.6912","16.1544","94.6912"
"R26","100R","TopLayer","Resistor-0402","13.1064","94.6912","360","Resistor-0402","13.1064","94.6912","12.5984","94.6912"
"R25","100K 1%","TopLayer","Resistor-0402","5.3974","73.5832","360","Resistor-0402","5.3974","73.5832","4.8894","73.5832"
"R24","100R","TopLayer","Resistor-0402","11.3282","94.6912","180","Resistor-0402","11.3282","94.6912","11.8362","94.6912"
"R23","100R","TopLayer","Resistor-0402","14.8844","94.6912","360","Resistor-0402","14.8844","94.6912","14.3764","94.6912"
"R22","200K 1%","TopLayer","Resistor-0402","5.3974","74.3455","360","Resistor-0402","5.3974","74.3455","4.8894","74.3455"
"R21","100K","TopLayer","Resistor-0402","7.5564","70.7892","180","Resistor-0402","7.5564","70.7892","8.0644","70.7892"
"R20","100K 1%","TopLayer","Resistor-0402","3.4924","73.5832","180","Resistor-0402","3.4924","73.5832","4.0004","73.5832"
"R19","100K","TopLayer","Resistor-0402","1.3334","71.1705","360","Resistor-0402","1.3334","71.1705","0.8254","71.1705"
"R18","100K","TopLayer","Resistor-0402","1.3334","70.4082","360","Resistor-0402","1.3334","70.4082","0.8254","70.4082"
"R17","100K 1%","TopLayer","Resistor-0402","3.4924","74.3455","180","Resistor-0402","3.4924","74.3455","4.0004","74.3455"
"R16","15K 1%","TopLayer","Resistor-0402","3.3654","67.8682","270","Resistor-0402","3.3654","67.8682","3.3654","68.3762"
"R15","68K 1%","TopLayer","Resistor-0402","4.1277","67.8682","270","Resistor-0402","4.1277","67.8682","4.1277","68.3762"
"R14","100K","TopLayer","Resistor-0402","2.2792","78.2003","180","Resistor-0402","2.2792","78.2003","2.7872","78.2003"
"R13","5.1K","TopLayer","Resistor-0402","9.5504","82.2452","90","Resistor-0402","9.5504","82.2452","9.5504","81.7372"
"R12","5.1K","TopLayer","Resistor-0402","9.5504","85.8012","90","Resistor-0402","9.5504","85.8012","9.5504","85.2932"
"R11","5.1M","TopLayer","Resistor-0402","11.2049","71.9334","180","Resistor-0402","11.2049","71.9334","11.7129","71.9334"
"R10","52.3K/59K","TopLayer","Resistor-0402","17.6784","67.1068","180","Resistor-0402","17.6784","67.1068","18.1864","67.1068"
"R9","1M/750K","TopLayer","Resistor-0402","16.1236","69.1795","90","Resistor-0402","16.1236","69.1795","16.1236","68.6714"
"R8","4.7K/NC","TopLayer","Resistor-0402","11.2049","72.6956","180","Resistor-0402","11.2049","72.6956","11.7129","72.6956"
"R7","47.5K/21K","TopLayer","Resistor-0402","17.6784","67.8688","360","Resistor-0402","17.6784","67.8688","17.1704","67.8688"
"R6","1M/510K","TopLayer","Resistor-0402","19.2022","69.1642","90","Resistor-0402","19.2022","69.1642","19.2022","68.6562"
"R5","4.7K/NC","TopLayer","Resistor-0402","11.2049","73.4579","180","Resistor-0402","11.2049","73.4579","11.7129","73.4579"
"R4","5.1M","TopLayer","Resistor-0402","12.5933","79.2290","180","Resistor-0402","12.5933","79.2290","13.1013","79.2290"
"R3","5.1M","TopLayer","Resistor-0402","15.2657","78.6892","90","Resistor-0402","15.2657","78.6892","15.2657","78.1812"
"R2","43.2K/36K","TopLayer","Resistor-0402","20.9839","75.9103","180","Resistor-0402","20.9839","75.9103","21.4919","75.9103"
"R1","10K/NC","TopLayer","Resistor-0402","20.9839","77.4348","360","Resistor-0402","20.9839","77.4348","20.4759","77.4348"
"L5","1.5uH","TopLayer","Inductor-2016","7.4168","74.3204","270","FTC201610S1R5MBCA","7.4168","74.3204","7.4168","74.9704"
"L4","1.5uH","TopLayer","Inductor-2016","1.4604","74.3259","270","FTC201610S1R5MBCA","1.4604","74.3259","1.4604","74.9759"
"L3","1.5uH","TopLayer","Inductor-2016","1.4604","67.9952","90","FTC201610S1R5MBCA","1.4604","67.9952","1.4604","67.3452"
"L2","4.7uH","TopLayer","Inductor-2016","10.5496","69.3943","180","FTC201610S4R7MBCA","10.5496","69.3943","11.1996","69.3943"
"L1","2.2uH/4.7uH","TopLayer","Inductor-2016","22.4929","71.2857","360","FTC201612S2R2MBCA/FTC201610S4R7MBCA","22.4929","71.2857","21.8429","71.2857"
"J1","FPC-22P-0.5mm","TopLayer","HC-FPC-05-10-22RLTAG","17.1438","97.1122","180","HC-FPC-05-10-22RLTAG","17.1438","98.5172","22.3938","95.7072"
"FB5","120次@100MHz","TopLayer","Ferrite_Bead-0402","19.4564","92.5319","360","UPZ1005D121-1R3TF","19.4564","92.5320","18.9484","92.5319"
"FB4","120次@100MHz","TopLayer","Ferrite_Bead-0402","7.4168","75.8786","180","UPZ1005D121-1R3TF","7.4168","75.8786","7.9248","75.8786"
"FB3","120次@100MHz","TopLayer","Ferrite_Bead-0402","3.4924","75.8700","180","UPZ1005D121-1R3TF","3.4924","75.8700","4.0004","75.8700"
"FB2","120次@100MHz","TopLayer","Ferrite_Bead-0402","6.4144","67.8682","270","UPZ1005D121-1R3TF","6.4144","67.8682","6.4144","68.3762"
"FB1","600次@100MHz","TopLayer","Ferrite_Bead-0603","1.8414","77.2922","180","UPZ1608U601-1R3TF","1.8414","77.2922","2.6414","77.2922"
"D4","MS2A40LDF","TopLayer","MS2A40LDF-DFN-2_1.6x1.0mm","10.5664","67.7162","360","Schottky Diode-DFN-1610-2","10.5664","67.7162","9.9564","67.7162"
"D3","BAV99QA/1SS362FV","TopLayer","BAV99QA-DFN-3_1.1x1.0mm","15.7773","67.5132","90","BAV99QA/1SS362FV","15.7773","67.5132","15.4023","67.0632"
"D2","BAV99QA/1SS362FV","TopLayer","BAV99QA-DFN-3_1.1x1.0mm","19.5834","67.4979","90","BAV99QA/1SS362FV","19.5834","67.4979","19.2084","67.0479"
"D1","MS2A40LDF","TopLayer","MS2A40LDF-DFN-2_1.6x1.0mm","20.6149","71.2871","90","Schottky Diode-DFN-1610-2","20.6149","71.2871","20.6149","70.6771"
"C42","100nF","TopLayer","Capacitor-0402","17.8054","83.3887","360","100nF/X5R/25V","17.8054","83.3887","17.2974","83.3887"
"C41","100nF","TopLayer","Capacitor-0402","17.8054","80.3402","180","100nF/X5R/25V","17.8054","80.3402","18.3134","80.3402"
"C40","100nF","TopLayer","Capacitor-0402","17.8054","81.1022","180","100nF/X5R/25V","17.8054","81.1022","18.3134","81.1022"
"C39","100nF","TopLayer","Capacitor-0402","17.2859","92.7862","270","100nF/X5R/25V","17.2859","92.7862","17.2859","93.2942"
"C38","4.7uF","TopLayer","Capacitor-0402","16.5237","92.7862","270","4.7uF/X5R/10V","16.5237","92.7862","16.5237","93.2942"
"C37","100nF","TopLayer","Capacitor-0402","10.5664","84.0230","270","100nF/X5R/25V","10.5664","84.0230","10.5664","84.5309"
"C36","4.7uF","TopLayer","Capacitor-0402","10.5664","85.8010","90","4.7uF/X5R/10V","10.5664","85.8010","10.5664","85.2930"
"C35","100nF","TopLayer","Capacitor-0402","18.0482","92.7862","90","100nF/X5R/25V","18.0482","92.7862","18.0482","92.2782"
"C34","100nF","TopLayer","Capacitor-0402","10.5664","89.3572","270","100nF/X5R/25V","10.5664","89.3572","10.5664","89.8652"
"C33","100nF","TopLayer","Capacitor-0402","19.4564","93.2942","360","100nF/X5R/25V","19.4564","93.2942","18.9484","93.2942"
"C32","100nF","TopLayer","Capacitor-0402","17.8054","84.1510","360","100nF/X5R/25V","17.8054","84.1510","17.2974","84.1510"
"C31","220pF","TopLayer","Capacitor-0402","5.3974","75.1077","360","CL05C221JB5NNNC","5.3974","75.1077","4.8894","75.1077"
"C30","10uF","TopLayer","Capacitor-0402","5.4102","75.8700","360","HGC0402R5106M100NTEJ","5.4102","75.8700","4.9022","75.8700"
"C29","220pF","TopLayer","Capacitor-0402","3.4924","75.1077","180","CL05C221JB5NNNC","3.4924","75.1077","4.0004","75.1077"
"C28","10uF","TopLayer","Capacitor-0402","1.4604","75.8842","360","HGC0402R5106M100NTEJ","1.4604","75.8842","0.9524","75.8842"
"C27","10uF","TopLayer","Capacitor-0402","7.5564","70.0272","180","HGC0402R5106M100NTEJ","7.5564","70.0272","8.0644","70.0272"
"C26","10uF","TopLayer","Capacitor-0402","7.5564","71.5515","180","HGC0402R5106M100NTEJ","7.5564","71.5515","8.0644","71.5515"
"C25","10uF","TopLayer","Capacitor-0402","1.3334","69.6462","360","HGC0402R5106M100NTEJ","1.3334","69.6462","0.8254","69.6462"
"C24","1uF","TopLayer","Capacitor-0402","1.3334","71.9327","360","HGC0402R5105K500NTEJ","1.3334","71.9327","0.8254","71.9327"
"C23","220pF","TopLayer","Capacitor-0402","4.8899","67.8682","270","CL05C221JB5NNNC","4.8899","67.8682","4.8899","68.3762"
"C22","10uF","TopLayer","Capacitor-0402","5.6522","67.8682","270","HGC0402R5106M100NTEJ","5.6522","67.8682","5.6522","68.3762"
"C21","10uF","TopLayer","Capacitor-0402","6.3754","77.2922","180","HGC0402R5106M100NTEJ","6.3754","77.2922","6.8834","77.2922"
"C20","10uF","TopLayer","Capacitor-0402","6.3754","78.0542","360","HGC0402R5106M100NTEJ","6.3754","78.0542","5.8674","78.0542"
"C19","4.7uF","TopLayer","Capacitor-0805","13.4033","67.6402","360","CL21A475KBQNNNE","13.4033","67.6402","12.4033","67.6402"
"C18","4.7uF","TopLayer","Capacitor-0805","13.4033","69.1940","360","CL21A475KBQNNNE","13.4033","69.1940","12.4033","69.1940"
"C17","10uF","TopLayer","Capacitor-0603","10.8204","71.0253","360","CL10A106KP8NNNC","10.8204","71.0253","10.0204","71.0253"
"C16","10nF/47nF","TopLayer","Capacitor-0402","15.3613","69.1795","270","CL05B103KB5NNNC/CC0402KRX7R9BB473","15.3613","69.1795","15.3613","69.6875"
"C15","100nF/1uF","TopLayer","Capacitor-0402","17.2972","69.1642","270","0402B104K500NT/HGC0402R5105K500NTEJ","17.2972","69.1642","17.2972","69.6722"
"C14","4.7uF","TopLayer","Capacitor-0805","11.2049","75.4159","270","CL21A475KBQNNNE","11.2049","75.4159","11.2049","76.4159"
"C13","100nF/1uF","TopLayer","Capacitor-0402","18.0594","69.1642","270","0402B104K500NT/HGC0402R5105K500NTEJ","18.0594","69.1642","18.0594","69.6722"
"C12","4.7uF","TopLayer","Capacitor-0402","11.2049","77.3740","360","CL05A475MO5NUNC","11.2049","77.3740","10.6969","77.3740"
"C11","10nF/47nF","TopLayer","Capacitor-0402","19.9644","69.1642","270","CL05B103KB5NNNC/CC0402KRX7R9BB473","19.9644","69.1642","19.9644","69.6722"
"C10","4.7uF","TopLayer","Capacitor-0805","22.0877","67.6103","360","CL21A475KBQNNNE","22.0877","67.6103","21.0877","67.6103"
"C9","4.7uF","TopLayer","Capacitor-0805","22.0877","69.1642","360","CL21A475KBQNNNE","22.0877","69.1642","21.0877","69.1642"
"C8","10uF","TopLayer","Capacitor-0603","12.9033","78.3209","360","CL10A106KP8NNNC","12.9033","78.3209","12.1033","78.3209"
"C7","4.7uF","TopLayer","Capacitor-0805","21.6189","73.1262","360","CL21A475KBQNNNE","21.6189","73.1262","20.6189","73.1262"
"C6","4.7uF","TopLayer","Capacitor-0402","14.5034","78.6892","270","CL05A475MO5NUNC","14.5034","78.6892","14.5034","79.1972"
"C5","10uF","TopLayer","Capacitor-0603","22.6349","76.6589","90","CL10A106KP8NNNC","22.6349","76.6589","22.6349","75.8589"
"C4","4.7uF","TopLayer","Capacitor-0805","21.6189","74.6800","360","CL21A475KBQNNNE","21.6189","74.6800","20.6189","74.6800"
"C3","4.7uF","TopLayer","Capacitor-0805","17.2237","78.6892","360","CL21A475KBQNNNE","17.2237","78.6892","16.2237","78.6892"
"C2","4.7uF","TopLayer","Capacitor-0805","20.3776","78.6892","180","CL21A475KBQNNNE","20.3776","78.6892","21.3776","78.6892"
"C1","4.7uF/NC","TopLayer","Capacitor-0402","20.9839","76.6725","180","CL05A475MO5NUNC","20.9839","76.6725","21.4919","76.6725"
"R39","NC/0R","TopLayer","Resistor-0402","41.9524","12.3444","270","Resistor-0402","41.9524","12.3444","41.9524","12.8524"
"R38","NC/7.5K","TopLayer","Resistor-0402","42.7147","12.3444","270","Resistor-0402","42.7147","12.3444","42.7147","12.8524"
"C45","0R/100nF","TopLayer","Capacitor-0402","41.1902","12.3444","270","CL05B104KB5NNNC","41.1902","12.3444","41.1902","12.8524"
"U6","TXS0104ERGYR","TopLayer","TXS0104E-VQFN-14-3.5x3.5mm","52.6422","15.9248","0","TXS0104ERGYR","52.6422","15.9248","51.8922","17.5748"
"R37","10K","TopLayer","Resistor-0402","54.0258","12.4714","270","Resistor-0402","54.0258","12.4714","54.0258","12.9794"
"R33","10K","TopLayer","Resistor-0402","55.6768","9.4234","90","Resistor-0402","55.6768","9.4234","55.6768","8.9154"
"R32","10K","TopLayer","Resistor-0402","52.5018","26.4414","90","Resistor-0402","52.5018","26.4414","52.5018","25.9334"
"R31","0R/NC","TopLayer","Resistor-0402","55.6768","7.2644","270","Resistor-0402","55.6768","7.2644","55.6768","7.7724"
"J2","E0470A01-AF-S","TopLayer","E0470A01-AF-S","58.4163","16.4989","90","AFC01-S40FCA-00","59.7663","16.4989","57.0663","26.2489"
"C44","100nF","TopLayer","Capacitor-0402","53.0098","18.5069","180","100nF/X5R/25V","53.0098","18.5069","53.5178","18.5069"
"C43","100nF","TopLayer","Capacitor-0402","51.2318","18.5069","180","100nF/X5R/25V","51.2318","18.5069","51.7398","18.5069"
"J3","CONN_HDR_3X4_2.54mm","TopLayer","CONN_HDR_3X4_2.54mm","35.4838","27.8384","270","","35.4838","27.8384","32.9438","31.6484"
"X1","27MHz","TopLayer","Oscillator-2016","50.8508","24.6039","270","OC7EL89CJO-113YLC-27M","50.8508","24.6039","50.3008","25.3039"
"USB1","TYPE-C","TopLayer","TYPE-C-16P","36.7498","17.5204","270","GT-USB-7010ASV","39.2698","17.5204","34.2298","13.1954"
"U5","TXS0108ERGYR","TopLayer","TXS0108E-VQFN-20-3.5x4.5mm","45.3938","15.9264","270","TXS0108ERGYR","45.3938","15.9264","47.5438","16.6764"
"U4","GW1NSR-LV4CQN48PC7/I6","TopLayer","GW1NSR-LV4CQN48P-QFN-48_6X6","46.1168","21.9254","0","GW1NSR-LV4CQN48PC7/I6","46.1168","21.9254","43.2668","24.1254"
"U3","EA3036CQBR","TopLayer","EA3036-QFN-20","35.8648","4.5974","270","EA3036CQBR","35.8648","4.5974","36.6648","6.1474"
"U2","SY6283ADRC","TopLayer","SY6283ADRC-dfn-4_1.2x1.6mm","35.7378","11.3284","0","SY6283ADRC","35.7378","11.3284","35.1378","11.5784"
"U1","TPS65185/SY7636A","TopLayer","TPS65185-VQFN-48_6x6mm","47.4713","7.6104","270","","47.4713","7.6104","49.6713","10.4854"
"R36","4.7K/NC","TopLayer","Resistor-0402","49.1998","16.2817","360","Resistor-0402","49.1998","16.2817","48.6918","16.2817"
"R35","4.7K/NC","TopLayer","Resistor-0402","49.1998","15.5197","360","Resistor-0402","49.1998","15.5197","48.6918","15.5197"
"R34","10K","TopLayer","Resistor-0402","41.9608","15.9002","90","Resistor-0402","41.9608","15.9002","41.9608","15.3922"
"R30","49.9R","TopLayer","Resistor-0402","50.8508","23.0206","360","Resistor-0402","50.8508","23.0206","50.3428","23.0206"
"R29","4.7K","TopLayer","Resistor-0402","41.9608","21.2344","270","Resistor-0402","41.9608","21.2344","41.9608","21.7424"
"R28","100R","TopLayer","Resistor-0402","49.8348","28.3464","360","Resistor-0402","49.8348","28.3464","49.3268","28.3464"
"R27","100R","TopLayer","Resistor-0402","48.0568","28.3464","360","Resistor-0402","48.0568","28.3464","47.5488","28.3464"
"R26","100R","TopLayer","Resistor-0402","44.5008","28.3464","360","Resistor-0402","44.5008","28.3464","43.9928","28.3464"
"R25","100K 1%","TopLayer","Resistor-0402","36.7918","7.2384","360","Resistor-0402","36.7918","7.2384","36.2838","7.2384"
"R24","100R","TopLayer","Resistor-0402","42.7226","28.3464","180","Resistor-0402","42.7226","28.3464","43.2306","28.3464"
"R23","100R","TopLayer","Resistor-0402","46.2788","28.3464","360","Resistor-0402","46.2788","28.3464","45.7708","28.3464"
"R22","200K 1%","TopLayer","Resistor-0402","36.7918","8.0007","360","Resistor-0402","36.7918","8.0007","36.2838","8.0007"
"R21","100K","TopLayer","Resistor-0402","38.9508","4.4444","180","Resistor-0402","38.9508","4.4444","39.4588","4.4444"
"R20","100K 1%","TopLayer","Resistor-0402","34.8868","7.2384","180","Resistor-0402","34.8868","7.2384","35.3948","7.2384"
"R19","100K","TopLayer","Resistor-0402","32.7278","4.8256","360","Resistor-0402","32.7278","4.8256","32.2198","4.8256"
"R18","100K","TopLayer","Resistor-0402","32.7278","4.0634","360","Resistor-0402","32.7278","4.0634","32.2198","4.0634"
"R17","100K 1%","TopLayer","Resistor-0402","34.8868","8.0007","180","Resistor-0402","34.8868","8.0007","35.3948","8.0007"
"R16","15K 1%","TopLayer","Resistor-0402","34.7598","1.5234","270","Resistor-0402","34.7598","1.5234","34.7598","2.0314"
"R15","68K 1%","TopLayer","Resistor-0402","35.5221","1.5234","270","Resistor-0402","35.5221","1.5234","35.5221","2.0314"
"R14","100K","TopLayer","Resistor-0402","33.6736","11.8555","180","Resistor-0402","33.6736","11.8555","34.1816","11.8555"
"R13","5.1K","TopLayer","Resistor-0402","40.9448","15.9004","90","Resistor-0402","40.9448","15.9004","40.9448","15.3924"
"R12","5.1K","TopLayer","Resistor-0402","40.9448","19.4564","90","Resistor-0402","40.9448","19.4564","40.9448","18.9484"
"R11","5.1M","TopLayer","Resistor-0402","42.5993","5.5886","180","Resistor-0402","42.5993","5.5886","43.1073","5.5886"
"R10","52.3K/59K","TopLayer","Resistor-0402","49.0728","0.7620","180","Resistor-0402","49.0728","0.7620","49.5808","0.7620"
"R9","1M/750K","TopLayer","Resistor-0402","47.5180","2.8347","90","Resistor-0402","47.5180","2.8347","47.5180","2.3267"
"R8","4.7K/NC","TopLayer","Resistor-0402","42.5993","6.3508","180","Resistor-0402","42.5993","6.3508","43.1073","6.3508"
"R7","47.5K/21K","TopLayer","Resistor-0402","49.0728","1.5240","360","Resistor-0402","49.0728","1.5240","48.5648","1.5240"
"R6","1M/510K","TopLayer","Resistor-0402","50.5966","2.8194","90","Resistor-0402","50.5966","2.8194","50.5966","2.3114"
"R5","4.7K/NC","TopLayer","Resistor-0402","42.5993","7.1131","180","Resistor-0402","42.5993","7.1131","43.1073","7.1131"
"R4","5.1M","TopLayer","Resistor-0402","43.9877","12.8842","180","Resistor-0402","43.9877","12.8842","44.4957","12.8842"
"R3","5.1M","TopLayer","Resistor-0402","46.6601","12.3444","90","Resistor-0402","46.6601","12.3444","46.6601","11.8364"
"R2","43.2K/36K","TopLayer","Resistor-0402","52.3783","9.5655","180","Resistor-0402","52.3783","9.5655","52.8863","9.5655"
"R1","10K/NC","TopLayer","Resistor-0402","52.3783","11.0900","360","Resistor-0402","52.3783","11.0900","51.8703","11.0900"
"L5","1.5uH","TopLayer","Inductor-2016","38.8112","7.9756","270","FTC201610S1R5MBCA","38.8112","7.9756","38.8112","8.6256"
"L4","1.5uH","TopLayer","Inductor-2016","32.8548","7.9812","270","FTC201610S1R5MBCA","32.8548","7.9812","32.8548","8.6312"
"L3","1.5uH","TopLayer","Inductor-2016","32.8548","1.6504","90","FTC201610S1R5MBCA","32.8548","1.6504","32.8548","1.0004"
"L2","4.7uH","TopLayer","Inductor-2016","41.9440","3.0495","180","FTC201610S4R7MBCA","41.9440","3.0495","42.5940","3.0495"
"L1","2.2uH/4.7uH","TopLayer","Inductor-2016","53.8873","4.9409","360","FTC201612S2R2MBCA/FTC201610S4R7MBCA","53.8873","4.9409","53.2373","4.9409"
